Price,Close,High,Low,Open,Volume,Date,Return,Daily_Range,MA_7,MA_30,Volatility_7,Year,Month,DayOfWeek,Lag_1,Lag_7,Volume_MA_7
2025-04-14,21.9894962310791,23.371693432006783,21.76718528307226,22.95606749398368,261300,2025-04-14,-0.04492023238382303,1.6045081489345243,21.514495849609375,25.225898234049478,0.061623822354720366,2025,4,0,23.023727416992188,22.434118270874023,422528.5714285714
2025-04-15,22.126014709472656,22.46731543254211,21.92123353165526,21.98949330428129,322800,2025-04-15,0.006208349521013901,0.5460819008868505,21.598896844046457,25.108660888671874,0.05920294341378318,2025,4,1,21.9894962310791,21.53520774841309,391328.5714285714
2025-04-16,23.2474308013916,23.530221566154868,22.165020473644635,22.17477213586949,242300,2025-04-16,0.050683148621375684,1.3652010925102331,22.009197780064174,25.01108366648356,0.054803453913082965,2025,4,2,22.126014709472656,20.375324249267575,357171.4285714286
2025-04-17,22.9841423034668,23.51559582366735,22.701351528831896,23.266934938041157,213900,2025-04-17,-0.01132548797216082,0.8142442948354542,22.408812386648997,24.900541687011717,0.054995020871235145,2025,4,3,23.2474308013916,20.186840057373047,319257.14285714284
2025-04-21,23.4912166595459,23.65699119665944,22.93538493508855,22.93538493508855,366300,2025-04-21,0.0220619220584366,0.7216062615708907,22.605393273489817,24.79208138783773,0.04410731018066183,2025,4,0,22.9841423034668,22.11515045166016,306585.71428571426
2025-04-22,24.017793655395508,24.349342733183,23.296187386075488,23.68624643754741,252600,2025-04-22,0.022415909890117547,1.0531553471075128,22.982831682477677,24.708584022521972,0.03990107842557127,2025,4,1,23.4912166595459,21.37572479248047,301985.71428571426
2025-04-23,24.19331932067871,24.80766101118151,24.03729644752167,24.349342193835756,203500,2025-04-23,0.007308151106701244,0.7703645636598395,23.14991624014718,24.633837191263833,0.03000917228958922,2025,4,2,24.017793655395508,23.023727416992188,266100.0
2025-04-24,24.437108993530277,24.56387875963201,23.94466207428487,24.261582769659945,169300,2025-04-24,0.010076735218519373,0.6192166853471406,23.499575206211635,24.583326212565105,0.01928314632982741,2025,4,3,24.19331932067871,21.9894962310791,252957.14285714287
2025-04-25,24.33959197998047,24.573628163580583,23.83251854201881,24.18356909754004,142400,2025-04-25,-0.003990529877148097,0.7411096215617725,23.815800530569895,24.515066146850586,0.020439353954910134,2025,4,4,24.437108993530277,22.126014709472656,227185.7142857143
2025-04-28,23.74475479125977,24.48098763147165,23.647240027406287,24.19332010107057,271700,2025-04-28,-0.024439078075341514,0.833747604065362,23.886846814836776,24.412479591369628,0.017396310120848697,2025,4,0,24.33959197998047,23.2474308013916,231385.7142857143
2025-04-29,23.4912166595459,24.09580483494396,22.92563327291253,23.725250971952185,331000,2025-04-29,-0.010677647924466904,1.1701715620314275,23.959286008562362,24.294675827026367,0.01730791296684353,2025,4,1,23.74475479125977,22.9841423034668,248114.2857142857
2025-04-30,23.754507064819336,23.87640005778752,22.89637935275725,23.188923651844565,171700,2025-04-30,0.011208036139177535,0.9800207050302703,23.996898923601425,24.15826218922933,0.015758661249477376,2025,4,2,23.4912166595459,23.4912166595459,220314.2857142857
2025-05-01,23.61798667907715,24.183570116744807,23.55947856068106,23.813016220316847,176600,2025-05-01,-0.005747136127458363,0.6240915560637461,23.93978364127023,23.999577395121257,0.012929474464601406,2025,5,3,23.754507064819336,24.017793655395508,209457.14285714287
2025-05-02,23.627735137939453,24.087028547909117,23.25718129176287,23.8422679761979,261100,2025-05-02,0.00041275571007681755,0.8298472561462482,23.858985900878906,23.840573183695476,0.012321795514786146,2025,5,4,23.61798667907715,24.19331932067871,217685.7142857143
2025-05-05,23.47171401977539,23.915404432058384,23.21817637562233,23.627736899263518,324000,2025-05-05,-0.0066033040091741935,0.6972280564360531,23.721072333199636,23.707298533121744,0.010823719275666251,2025,5,0,23.627735137939453,24.437108993530277,239785.7142857143
